Variable,Variable name,Measurement unit,Allowed values,Description
Recipient Email,RecipientEmail,character,Any string,"Email address that was used to contact the participant, hashed using SHA256 algorithm"
Number of the wave,Wave,numeric,1 to 31,Number of the week in which the participant started the study. 1 = first week of data collection
Finished T1,Finished_T1,numeric,"0, 1","Did the participant finish T1 questionnaire? 0 = No, 1 = Yes"
Participant gender,gender,numeric,"1, 2","Participant gender. 1 = male, 2 = female"
Participant's year of birth,birthyear,numeric,1900 to 2002,Participant's year of birth
Participant's education,education,numeric,1 to 8,"Highest level of education achieved. 1 = Hauptschulabschluss, 2 = Realschulabschluss, 3 = Abitur, 4 = Ausbildung, 5 = Diplom-Abschluss, 6 = Bachelor-Abschluss, 7 = Master-Abschluss, 8 = Doktorat oder Äquivalent"
Number of children,children,numeric,"0, 1",Whether the participant has children
Work hours,work_hours,numeric,0 to 99,The number of hours worked per week
Work days,work_days,numeric,0 to 7,The number of days worked per week
T1 PANAS item 1,T1_panas_jov_1,numeric,1 to 5,"""cheerful"""
T1 PANAS item 2,T1_panas_sad_1,numeric,1 to 5,"""sad"""
T1 PANAS item 3,T1_panas_gen_pos_2,numeric,1 to 5 ,"""active"""
T1 PANAS item 4,T1_panas_guilt_4,numeric,1 to 5,"""angry at self"""
T1 PANAS item 5,T1_panas_hos_1,numeric,1 to 5,"""disgusted"""
T1 PANAS item 6,T1_panas_ser_2,numeric,1 to 5,"""calm"""
T1 PANAS item 7,T1_panas_guilt_2,numeric,1 to 5,"""guilty"""
T1 PANAS item 8,T1_panas_jov_7,numeric,1 to 5,"""enthusiastic"""
T1 PANAS item 9,T1_panas_att_1,numeric,1 to 5,"""attentive"""
T1 PANAS item 10,T1_panas_fear_1,numeric,1 to 5,"""afraid"""
T1 PANAS item 11,T1_panas_jov_4,numeric,1 to 5,"""joyful"""
T1 PANAS item 12,T1_panas_sad_5,numeric,1 to 5,"""downhearted"""
T1 PANAS item 13,T1_panas_shy_1,numeric,1 to 5,"""bashful"""
T1 PANAS item 14,T1_panas_fat_2,numeric,1 to 5,"""tired"""
T1 PANAS item 15,T1_panas_fear_3,numeric,1 to 5,"""nervous"""
T1 PANAS item 16,T1_panas_shy_4,numeric,1 to 5,"""sheepish"""
T1 PANAS item 17,T1_panas_fat_1,numeric,1 to 5,"""sluggish"""
T1 PANAS item 18,T1_panas_sur_2,numeric,1 to 5,"""amazed"""
T1 PANAS item 19,T1_panas_sad_4,numeric,1 to 5,"""lonely"""
T1 PANAS item 20,T1_panas_gen_neg_2,numeric,1 to 5,"""distressed"""
T1 PANAS item 21,T1_panas_self_ass_1,numeric,1 to 5,"""daring"""
T1 PANAS item 22,T1_panas_fear_2,numeric,1 to 5,"""shaky"""
T1 PANAS item 23,T1_panas_fat_3,numeric,1 to 5,"""sleepy"""
T1 PANAS item 24,T1_panas_guilt_5,numeric,1 to 5,"""blameworthy"""
T1 PANAS item 25,T1_panas_sur_1,numeric,1 to 5,"""surprised"""
T1 PANAS item 26,T1_panas_jov_3,numeric,1 to 5,"""happy"""
T1 PANAS item 27,T1_panas_jov_5,numeric,1 to 5,"""excited"""
T1 PANAS item 28,T1_panas_att_3,numeric,1 to 5,"""determined"""
T1 PANAS item 29,T1_panas_self_ass_2,numeric,1 to 5,"""strong"""
T1 PANAS item 30,T1_panas_shy_2,numeric,1 to 5,"""timid"""
T1 PANAS item 31,T1_panas_hos_5,numeric,1 to 5,"""hostile"""
T1 PANAS item 32,T1_panas_fear_6,numeric,1 to 5,"""frightened"""
T1 PANAS item 33,T1_panas_hos_2,numeric,1 to 5,"""scornful"""
T1 PANAS item 34,T1_panas_sad_2,numeric,1 to 5,"""alone"""
T1 PANAS item 35,T1_panas_self_ass_5,numeric,1 to 5,"""proud"""
T1 PANAS item 36,T1_panas_sur_3,numeric,1 to 5,"""astonished"""
T1 PANAS item 37,T1_panas_ser_1,numeric,1 to 5,"""relaxed"""
T1 PANAS item 38,T1_panas_att_2,numeric,1 to 5,"""alert"""
T1 PANAS item 39,T1_panas_fear_4,numeric,1 to 5,"""jittery"""
T1 PANAS item 40,T1_panas_gen_pos_3,numeric,1 to 5,"""interested"""
T1 PANAS item 41,T1_panas_hos_3,numeric,1 to 5,"""irritable"""
T1 PANAS item 42,T1_panas_gen_neg_1,numeric,1 to 5,"""upset"""
T1 PANAS item 43,T1_panas_jov_6,numeric,1 to 5,"""lively"""
T1 PANAS item 44,T1_panas_hos_6,numeric,1 to 5,"""loathing"""
T1 PANAS item 45,T1_panas_jov_2,numeric,1 to 5,"""delighted"""
T1 PANAS item 46,T1_panas_hos_4,numeric,1 to 5,"""angry"""
T1 PANAS item 47,T1_panas_guilt_3,numeric,1 to 5,"""ashamed"""
T1 PANAS item 48,T1_panas_self_ass_6,numeric,1 to 5,"""confident"""
T1 PANAS item 49,T1_panas_gen_pos_1,numeric,1 to 5,"""inspired"""
T1 PANAS item 50,T1_panas_self_ass_4,numeric,1 to 5,"""bold"""
T1 PANAS item 51,T1_panas_ser_3,numeric,1 to 5,"""at ease"""
T1 PANAS item 52,T1_panas_jov_8,numeric,1 to 5,"""energetic"""
T1 PANAS item 53,T1_panas_self_ass_3,numeric,1 to 5,"""fearless"""
T1 PANAS item 54,T1_panas_sad_3,numeric,1 to 5,"""blue"""
T1 PANAS item 55,T1_panas_fear_5,numeric,1 to 5,"""scared"""
T1 PANAS item 56,T1_panas_att_4,numeric,1 to 5,"""concentrating"""
T1 PANAS item 57,T1_panas_guilt_1,numeric,1 to 5,"""disgusted"""
T1 PANAS item 58,T1_panas_shy_3,numeric,1 to 5,"""shy"""
T1 PANAS item 59,T1_panas_fat_4,numeric,1 to 5,"""drowsy"""
T1 PANAS item 60,T1_panas_guilt_6,numeric,1 to 5,"""dissatisfied with self"""
Finished T2,Finished_T2,numeric,"0, 1","Did the participant finish T2 questionnaire? 0 = No, 1 = Yes"
T2 REQ item 1,req_detach_1,numeric,1 to 5,"""I forget about work"""
T2 REQ item 2,req_detach_2,numeric,1 to 5,"""I don’t think about work at all"""
T2 REQ item 3,req_detach_3,numeric,1 to 5,"""I distance myself from my work"""
T2 REQ item 4,req_detach_4,numeric,1 to 5,"""I get a break from the demands of work"""
T2 REQ item 5,req_relax_1,numeric,1 to 5,"""I kick back and relax"""
T2 REQ item 6,req_relax_2,numeric,1 to 5,"""I do relaxing things"""
T2 REQ item 7,req_relax_3,numeric,1 to 5,"""I use the time to relax"""
T2 REQ item 8,req_relax_4,numeric,1 to 5,"""I take time for leisure"""
T2 REQ item 9,req_mastery_1,numeric,1 to 5,"""I learn new things"""
T2 REQ item 10,req_mastery_2,numeric,1 to 5,"""I seek out intellectual challenges"""
T2 REQ item 11,req_mastery_3,numeric,1 to 5,"""I do things that challenge me"""
T2 REQ item 12,req_mastery_4,numeric,1 to 5,"""I do something to broaden my horizons"""
T2 REQ item 13,req_control_1,numeric,1 to 5,"""I feel like I can decide for myself what to do"""
T2 REQ item 14,req_control_2,numeric,1 to 5,"""I decide my own schedule"""
T2 REQ item 15,req_control_3,numeric,1 to 5,"""I determine for myself how I will spend my time"""
T2 REQ item 16,req_control_4,numeric,1 to 5,"""I take care of things the way that I want them done"""
T2 Hassles item 1,has_1,numeric,1 to 4,"""Your child(ren)"""
T2 Hassles item 2,has_2,numeric,1 to 4,"""Your parents or parents-in-law"""
T2 Hassles item 3,has_3,numeric,1 to 4,"""Other relative(s)"""
T2 Hassles item 4,has_4,numeric,1 to 4,"""Your spouse"""
T2 Hassles item 5,has_5,numeric,1 to 4,"""Time spent with family"""
T2 Hassles item 6,has_6,numeric,1 to 4,"""Health or well-being of a family member"""
T2 Hassles item 7,has_7,numeric,1 to 4,"""Sex"""
T2 Hassles item 8,has_8,numeric,1 to 4,"""Intimacy"""
T2 Hassles item 9,has_9,numeric,1 to 4,"""Family-related obligations"""
T2 Hassles item 10,has_10,numeric,1 to 4,"""Your friend(s)"""
T2 Hassles item 11,has_11,numeric,1 to 4,"""Fellow workers"""
T2 Hassles item 12,has_12,numeric,1 to 4,"""Clients, customers, patients, etc."""
T2 Hassles item 13,has_13,numeric,1 to 4,"""Your supervisor or employer"""
T2 Hassles item 14,has_14,numeric,1 to 4,"""The nature of your work"""
T2 Hassles item 15,has_15,numeric,1 to 4,"""Your work load"""
T2 Hassles item 16,has_16,numeric,1 to 4,"""Your job security"""
T2 Hassles item 17,has_17,numeric,1 to 4,"""Meeting deadlines or goals on the job"""
T2 Hassles item 18,has_18,numeric,1 to 4,"""Enough money for necessities"""
T2 Hassles item 19,has_19,numeric,1 to 4,"""Enough money for education"""
T2 Hassles item 20,has_20,numeric,1 to 4,"""Enough money for emergencies"""
T2 Hassles item 21,has_21,numeric,1 to 4,"""Enough money for extras"""
T2 Hassles item 22,has_22,numeric,1 to 4,"""Financial care for someone who doesn't live with you"""
T2 Hassles item 23,has_23,numeric,1 to 4,"""Investments"""
T2 Hassles item 24,has_24,numeric,1 to 4,"""Your smoking"""
T2 Hassles item 25,has_25,numeric,1 to 4,"""Your drinking"""
T2 Hassles item 26,has_26,numeric,1 to 4,"""Mood-altering drugs"""
T2 Hassles item 27,has_27,numeric,1 to 4,"""Your physical appearance"""
T2 Hassles item 28,has_28,numeric,1 to 4,"""Contraception"""
T2 Hassles item 29,has_29,numeric,1 to 4,"""Exercise(s)"""
T2 Hassles item 30,has_30,numeric,1 to 4,"""Your medical care"""
T2 Hassles item 31,has_31,numeric,1 to 4,"""Your health"""
T2 Hassles item 32,has_32,numeric,1 to 4,"""Your physical abilities"""
T2 Hassles item 33,has_33,numeric,1 to 4,"""The weather"""
T2 Hassles item 34,has_34,numeric,1 to 4,"""News events"""
T2 Hassles item 35,has_35,numeric,1 to 4,"""Your environment"""
T2 Hassles item 36,has_36,numeric,1 to 4,"""Political or social issues"""
T2 Hassles item 37,has_37,numeric,1 to 4,"""Your neighbourhood"""
T2 Hassles item 38,has_38,numeric,1 to 4,"""Conserving"""
T2 Hassles item 39,has_39,numeric,1 to 4,"""Pets"""
T2 Hassles item 40,has_40,numeric,1 to 4,"""Cooking"""
T2 Hassles item 41,has_41,numeric,1 to 4,"""Housework"""
T2 Hassles item 42,has_42,numeric,1 to 4,"""Home repairs"""
T2 Hassles item 43,has_43,numeric,1 to 4,"""Yardwork"""
T2 Hassles item 44,has_44,numeric,1 to 4,"""Car maintenance"""
T2 Hassles item 45,has_45,numeric,1 to 4,"""Taking care of paperwork"""
T2 Hassles item 46,has_46,numeric,1 to 4,"""Home entertainment"""
T2 Hassles item 47,has_47,numeric,1 to 4,"""Amount of free time"""
T2 Hassles item 48,has_48,numeric,1 to 4,"""Recreation and entertainment outside the home"""
T2 Hassles item 49,has_49,numeric,1 to 4,"""Eating"""
T2 Hassles item 50,has_50,numeric,1 to 4,"""Church or community activities"""
T2 Hassles item 51,has_51,numeric,1 to 4,"""Legal matters"""
T2 Hassles item 52,has_52,numeric,1 to 4,"""Being organized"""
T2 Hassles item 53,has_53,numeric,1 to 4,"""Social commitments"""
T2 Uplifts item 1,upl_1,numeric,1 to 4,"""Your child(ren)"""
T2 Uplifts item 2,upl_2,numeric,1 to 4,"""Your parents or parents-in-law"""
T2 Uplifts item 3,upl_3,numeric,1 to 4,"""Other relative(s)"""
T2 Uplifts item 4,upl_4,numeric,1 to 4,"""Your spouse"""
T2 Uplifts item 5,upl_5,numeric,1 to 4,"""Time spent with family"""
T2 Uplifts item 6,upl_6,numeric,1 to 4,"""Health or well-being of a family member"""
T2 Uplifts item 7,upl_7,numeric,1 to 4,"""Sex"""
T2 Uplifts item 8,upl_8,numeric,1 to 4,"""Intimacy"""
T2 Uplifts item 9,upl_9,numeric,1 to 4,"""Family-related obligations"""
T2 Uplifts item 10,upl_10,numeric,1 to 4,"""Your friend(s)"""
T2 Uplifts item 11,upl_11,numeric,1 to 4,"""Fellow workers"""
T2 Uplifts item 12,upl_12,numeric,1 to 4,"""Clients, customers, patients, etc."""
T2 Uplifts item 13,upl_13,numeric,1 to 4,"""Your supervisor or employer"""
T2 Uplifts item 14,upl_14,numeric,1 to 4,"""The nature of your work"""
T2 Uplifts item 15,upl_15,numeric,1 to 4,"""Your work load"""
T2 Uplifts item 16,upl_16,numeric,1 to 4,"""Your job security"""
T2 Uplifts item 17,upl_17,numeric,1 to 4,"""Meeting deadlines or goals on the job"""
T2 Uplifts item 18,upl_18,numeric,1 to 4,"""Enough money for necessities"""
T2 Uplifts item 19,upl_19,numeric,1 to 4,"""Enough money for education"""
T2 Uplifts item 20,upl_20,numeric,1 to 4,"""Enough money for emergencies"""
T2 Uplifts item 21,upl_21,numeric,1 to 4,"""Enough money for extras"""
T2 Uplifts item 22,upl_22,numeric,1 to 4,"""Financial care for someone who doesn't live with you"""
T2 Uplifts item 23,upl_23,numeric,1 to 4,"""Investments"""
T2 Uplifts item 24,upl_24,numeric,1 to 4,"""Your smoking"""
T2 Uplifts item 25,upl_25,numeric,1 to 4,"""Your drinking"""
T2 Uplifts item 26,upl_26,numeric,1 to 4,"""Mood-altering drugs"""
T2 Uplifts item 27,upl_27,numeric,1 to 4,"""Your physical appearance"""
T2 Uplifts item 28,upl_28,numeric,1 to 4,"""Contraception"""
T2 Uplifts item 29,upl_29,numeric,1 to 4,"""Exercise(s)"""
T2 Uplifts item 30,upl_30,numeric,1 to 4,"""Your medical care"""
T2 Uplifts item 31,upl_31,numeric,1 to 4,"""Your health"""
T2 Uplifts item 32,upl_32,numeric,1 to 4,"""Your physical abilities"""
T2 Uplifts item 33,upl_33,numeric,1 to 4,"""The weather"""
T2 Uplifts item 34,upl_34,numeric,1 to 4,"""News events"""
T2 Uplifts item 35,upl_35,numeric,1 to 4,"""Your environment"""
T2 Uplifts item 36,upl_36,numeric,1 to 4,"""Political or social issues"""
T2 Uplifts item 37,upl_37,numeric,1 to 4,"""Your neighbourhood"""
T2 Uplifts item 38,upl_38,numeric,1 to 4,"""Conserving"""
T2 Uplifts item 39,upl_39,numeric,1 to 4,"""Pets"""
T2 Uplifts item 40,upl_40,numeric,1 to 4,"""Cooking"""
T2 Uplifts item 41,upl_41,numeric,1 to 4,"""Housework"""
T2 Uplifts item 42,upl_42,numeric,1 to 4,"""Home repairs"""
T2 Uplifts item 43,upl_43,numeric,1 to 4,"""Yardwork"""
T2 Uplifts item 44,upl_44,numeric,1 to 4,"""Car maintenance"""
T2 Uplifts item 45,upl_45,numeric,1 to 4,"""Taking care of paperwork"""
T2 Uplifts item 46,upl_46,numeric,1 to 4,"""Home entertainment"""
T2 Uplifts item 47,upl_47,numeric,1 to 4,"""Amount of free time"""
T2 Uplifts item 48,upl_48,numeric,1 to 4,"""Recreation and entertainment outside the home"""
T2 Uplifts item 49,upl_49,numeric,1 to 4,"""Eating"""
T2 Uplifts item 50,upl_50,numeric,1 to 4,"""Church or community activities"""
T2 Uplifts item 51,upl_51,numeric,1 to 4,"""Legal matters"""
T2 Uplifts item 52,upl_52,numeric,1 to 4,"""Being organized"""
T2 Uplifts item 53,upl_53,numeric,1 to 4,"""Social commitments"""
Finished T3,Finished_T3,numeric,"0, 1","Did the participant finish T3 questionnaire? 0 = No, 1 = Yes"
T3 PANAS item 1,T3_panas_jov_1,numeric,1 to 5,"""cheerful"""
T3 PANAS item 2,T3_panas_sad_1,numeric,1 to 5,"""sad"""
T3 PANAS item 3,T3_panas_gen_pos_2,numeric,1 to 5 ,"""active"""
T3 PANAS item 4,T3_panas_guilt_4,numeric,1 to 5,"""angry at self"""
T3 PANAS item 5,T3_panas_hos_1,numeric,1 to 5,"""disgusted"""
T3 PANAS item 6,T3_panas_ser_2,numeric,1 to 5,"""calm"""
T3 PANAS item 7,T3_panas_guilt_2,numeric,1 to 5,"""guilty"""
T3 PANAS item 8,T3_panas_jov_7,numeric,1 to 5,"""enthusiastic"""
T3 PANAS item 9,T3_panas_att_1,numeric,1 to 5,"""attentive"""
T3 PANAS item 10,T3_panas_fear_1,numeric,1 to 5,"""afraid"""
T3 PANAS item 11,T3_panas_jov_4,numeric,1 to 5,"""joyful"""
T3 PANAS item 12,T3_panas_sad_5,numeric,1 to 5,"""downhearted"""
T3 PANAS item 13,T3_panas_shy_1,numeric,1 to 5,"""bashful"""
T3 PANAS item 14,T3_panas_fat_2,numeric,1 to 5,"""tired"""
T3 PANAS item 15,T3_panas_fear_3,numeric,1 to 5,"""nervous"""
T3 PANAS item 16,T3_panas_shy_4,numeric,1 to 5,"""sheepish"""
T3 PANAS item 17,T3_panas_fat_1,numeric,1 to 5,"""sluggish"""
T3 PANAS item 18,T3_panas_sur_2,numeric,1 to 5,"""amazed"""
T3 PANAS item 19,T3_panas_sad_4,numeric,1 to 5,"""lonely"""
T3 PANAS item 20,T3_panas_gen_neg_2,numeric,1 to 5,"""distressed"""
T3 PANAS item 21,T3_panas_self_ass_1,numeric,1 to 5,"""daring"""
T3 PANAS item 22,T3_panas_fear_2,numeric,1 to 5,"""shaky"""
T3 PANAS item 23,T3_panas_fat_3,numeric,1 to 5,"""sleepy"""
T3 PANAS item 24,T3_panas_guilt_5,numeric,1 to 5,"""blameworthy"""
T3 PANAS item 25,T3_panas_sur_1,numeric,1 to 5,"""surprised"""
T3 PANAS item 26,T3_panas_jov_3,numeric,1 to 5,"""happy"""
T3 PANAS item 27,T3_panas_jov_5,numeric,1 to 5,"""excited"""
T3 PANAS item 28,T3_panas_att_3,numeric,1 to 5,"""determined"""
T3 PANAS item 29,T3_panas_self_ass_2,numeric,1 to 5,"""strong"""
T3 PANAS item 30,T3_panas_shy_2,numeric,1 to 5,"""timid"""
T3 PANAS item 31,T3_panas_hos_5,numeric,1 to 5,"""hostile"""
T3 PANAS item 32,T3_panas_fear_6,numeric,1 to 5,"""frightened"""
T3 PANAS item 33,T3_panas_hos_2,numeric,1 to 5,"""scornful"""
T3 PANAS item 34,T3_panas_sad_2,numeric,1 to 5,"""alone"""
T3 PANAS item 35,T3_panas_self_ass_5,numeric,1 to 5,"""proud"""
T3 PANAS item 36,T3_panas_sur_3,numeric,1 to 5,"""astonished"""
T3 PANAS item 37,T3_panas_ser_1,numeric,1 to 5,"""relaxed"""
T3 PANAS item 38,T3_panas_att_2,numeric,1 to 5,"""alert"""
T3 PANAS item 39,T3_panas_fear_4,numeric,1 to 5,"""jittery"""
T3 PANAS item 40,T3_panas_gen_pos_3,numeric,1 to 5,"""interested"""
T3 PANAS item 41,T3_panas_hos_3,numeric,1 to 5,"""irritable"""
T3 PANAS item 42,T3_panas_gen_neg_1,numeric,1 to 5,"""upset"""
T3 PANAS item 43,T3_panas_jov_6,numeric,1 to 5,"""lively"""
T3 PANAS item 44,T3_panas_hos_6,numeric,1 to 5,"""loathing"""
T3 PANAS item 45,T3_panas_jov_2,numeric,1 to 5,"""delighted"""
T3 PANAS item 46,T3_panas_hos_4,numeric,1 to 5,"""angry"""
T3 PANAS item 47,T3_panas_guilt_3,numeric,1 to 5,"""ashamed"""
T3 PANAS item 48,T3_panas_self_ass_6,numeric,1 to 5,"""confident"""
T3 PANAS item 49,T3_panas_gen_pos_1,numeric,1 to 5,"""inspired"""
T3 PANAS item 50,T3_panas_self_ass_4,numeric,1 to 5,"""bold"""
T3 PANAS item 51,T3_panas_ser_3,numeric,1 to 5,"""at ease"""
T3 PANAS item 52,T3_panas_jov_8,numeric,1 to 5,"""energetic"""
T3 PANAS item 53,T3_panas_self_ass_3,numeric,1 to 5,"""fearless"""
T3 PANAS item 54,T3_panas_sad_3,numeric,1 to 5,"""blue"""
T3 PANAS item 55,T3_panas_fear_5,numeric,1 to 5,"""scared"""
T3 PANAS item 56,T3_panas_att_4,numeric,1 to 5,"""concentrating"""
T3 PANAS item 57,T3_panas_guilt_1,numeric,1 to 5,"""disgusted"""
T3 PANAS item 58,T3_panas_shy_3,numeric,1 to 5,"""shy"""
T3 PANAS item 59,T3_panas_fat_4,numeric,1 to 5,"""drowsy"""
T3 PANAS item 60,T3_panas_guilt_6,integer,1 to 5,"""dissatisfied with self"""
Age,age,numeric,0 to 99,Age
REQ Control,req_control,numeric,1 to 5 ,Index of Recreational Experiences: Control
REQ Detachment,req_detach,numeric,2 to 5 ,Index of Recreational Experiences: Detachment
REQ Relaxation,req_relax,numeric,3 to 5 ,Index of Recreational Experiences: Relaxation
REQ Mastery,req_mastery,numeric,4 to 5 ,Index of Recreational Experiences: Mastery
Hassles total,hassles,numeric,53 to 212,Sum of responses to all Hassles items
T1 PANAS General Negative Emotion,T1_panas_negative,numeric,1 to 5,T1 Index of PANAS: General Negative Emotion
T1 PANAS Fear,T1_panas_fear,numeric,1 to 5,T1 Index of PANAS: Fear
T1 PANAS Sadness,T1_panas_sadness,numeric,1 to 5,T1 Index of PANAS: Sadness
T1 PANAS Guilt,T1_panas_guilt,numeric,1 to 5,T1 Index of PANAS: Guilt
T1 PANAS Hostility,T1_panas_hostility,numeric,1 to 5,T1 Index of PANAS: Hostility
T1 PANAS Shyness,T1_panas_shyness,numeric,1 to 5,T1 Index of PANAS: Shyness
T1 PANAS Fatigue,T1_panas_fatigue,numeric,1 to 5,T1 Index of PANAS: Fatigue
T1 PANAS General Positive Emotion,T1_panas_positive,numeric,1 to 5,T1 Index of PANAS: General Positive Emotion
T1 PANAS Joviality,T1_panas_joviality,numeric,1 to 5,T1 Index of PANAS: Joviality
T1 PANAS Self-Assurance,T1_panas_self_assurance,numeric,1 to 5,T1 Index of PANAS: Self-Assurance
T1 PANAS Attentiveness,T1_panas_attentiveness,numeric,1 to 5,T1 Index of PANAS: Attentiveness
T1 PANAS Serenity,T1_panas_serenity,numeric,1 to 5,T1 Index of PANAS: Serenity
T1 PANAS Surprise,T1_panas_surprise,numeric,1 to 5,T1 Index of PANAS: Surprise
T3 PANAS General Negative Emotion,T3_panas_negative,numeric,1 to 5,T3 Index of PANAS: General Negative Emotion
T3 PANAS Fear,T3_panas_fear,numeric,1 to 5,T3 Index of PANAS: Fear
T3 PANAS Sadness,T3_panas_sadness,numeric,1 to 5,T3 Index of PANAS: Sadness
T3 PANAS Guilt,T3_panas_guilt,numeric,1 to 5,T3 Index of PANAS: Guilt
T3 PANAS Hostility,T3_panas_hostility,numeric,1 to 5,T3 Index of PANAS: Hostility
T3 PANAS Shyness,T3_panas_shyness,numeric,1 to 5,T3 Index of PANAS: Shyness
T3 PANAS Fatigue,T3_panas_fatigue,numeric,1 to 5,T3 Index of PANAS: Fatigue
T3 PANAS General Positive Emotion,T3_panas_positive,numeric,1 to 5,T3 Index of PANAS: General Positive Emotion
T3 PANAS Joviality,T3_panas_joviality,numeric,1 to 5,T3 Index of PANAS: Joviality
T3 PANAS Self-Assurance,T3_panas_self_assurance,numeric,1 to 5,T3 Index of PANAS: Self-Assurance
T3 PANAS Attentiveness,T3_panas_attentiveness,numeric,1 to 5,T3 Index of PANAS: Attentiveness
T3 PANAS Serenity,T3_panas_serenity,numeric,1 to 5,T3 Index of PANAS: Serenity
T3 PANAS Surprise,T3_panas_surprise,numeric,1 to 5,T3 Index of PANAS: Surprise
